Club,Anual Payroll
AFC Bournemouth,42276000
Arsenal F.C.,97878000
Aston Villa F.C.,89880000
Brentford F.C.,30170000
Brighton & Hove Albion,35685000
Chelsea F.C.,207090000
Crystal Palace,67624000
Everton F.C.,80707000
Fulham F.C.,56668000
Leeds United F.C.,48100000
Leicester City,73190000
Liverpool F.C.,158788000
Manchester City F.C.,182640000
Manchester United F.C.,211875000
Newcastle United F.C.,76220600
Nottingham Forest F.C.,66680000
Southampton F.C.,51496000
Tottenham Hotspur F.C.,110438000
West Ham United F.C.,80060000
Wolverhampton Wanderers F.C.,52702000
